3110,1,CRMLIB,10/16/2012 00:04:36 AM,Passed,10/16/2012 00:04:32 AM,basic.step,LIBS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1297,Passed,"",basic.init,
"Iteration Total (sec)",,485,Passed,"",basic.iteration,
"Finish Total (sec)",,407,Passed,"",basic.finish,
