1297,1,SCMLIB,12/05/2012 02:24:04 AM,Passed,12/05/2012 02:24:02 AM,basic.step,LIBS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,750,Passed,"",basic.init,
"Iteration Total (sec)",,187,Passed,"",basic.iteration,
"Info",,0,Passed,"Comments: CDO-2",basic.comment,
"Finish Total (sec)",,125,Passed,"",basic.finish,
