7641,1,GENLIB,2/24/2014 01:02:50 AM,Passed,2/24/2014 01:02:42 AM,basic.step,LIBS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6563,Passed,"",basic.init,
"Launch Browser",,5438,Passed,"",basic.step,
"Iteration Total (sec)",,609,Passed,"",basic.iteration,
"Call Function: WEBLABELLIB.getComponents",,109,Passed,"",basic.stepGroup,
"Call Function: WEBLABELLIB.getComponents",,78,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Unable to select radion button",basic.comment,
"Finish Total (sec)",,78,Passed,"",basic.finish,
