2688,1,TELNETLIB,10/16/2012 01:04:55 AM,Passed,10/16/2012 01:04:51 AM,basic.step,LIBS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1297,Passed,"",basic.init,
"Iteration Total (sec)",,438,Passed,"",basic.iteration,
"Finish Total (sec)",,219,Passed,"",basic.finish,
