2391,1,CRMLIB,2/06/2013 01:48:18 AM,Passed,2/06/2013 01:48:16 AM,basic.step,LIBS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1641,Passed,"",basic.init,
"Iteration Total (sec)",,250,Passed,"",basic.iteration,
"Finish Total (sec)",,93,Passed,"",basic.finish,
